BaseFreq,RunFreq,AdjFreq,I,P,Var1,Var2,Var3,Var4,Var5
1900,1900,0,295,388,385,17,22,23,0,
1900,1900,0,278,363,363,18,22,23,0,
1900,1900,0,228,300,300,19,22,23,0,
1900,1900,0,160,195,194,20,22,23,0,
1900,1900,0,119,59,59,21,22,23,0,
1900,1900,0,127,-19,-20,22,22,23,0,
1900,1900,0,152,-70,-69,0,22,23,0,
1900,1900,0,173,-111,-110,1,22,23,0,
1900,1900,0,165,-116,-113,2,22,23,0,
1900,1900,0,136,-80,-69,3,22,23,0,
1900,1900,0,144,44,97,4,22,23,0,
1900,1900,0,144,44,97,4,22,23,0,
1900,1900,0,342,329,394,5,22,23,0,
1900,1900,0,300,392,383,6,22,23,0,
1900,1900,0,226,307,317,7,22,23,0,
1900,1900,0,166,202,197,8,22,23,0,
1900,1900,0,120,81,80,9,22,23,0,
1900,1900,0,124,-4,-5,10,22,23,0,
1900,1900,0,119,13,12,11,22,23,0,
1900,1900,0,247,200,199,12,22,23,0,
1900,1900,0,353,406,408,13,22,23,0,
1900,1900,0,338,438,441,14,22,23,0,
1900,1900,0,332,438,435,15,22,23,0,
1900,1900,0,314,414,412,16,24,23,0,
1900,1900,0,295,386,388,17,24,23,0,
1900,1900,0,280,363,363,18,24,23,0,
1900,1900,0,230,302,300,19,24,23,0,
1900,1900,0,159,195,195,20,24,23,0,
1900,1900,0,119,59,59,21,24,23,0,
1900,1900,0,127,-20,-19,22,24,23,0,
1900,1900,0,127,-20,-19,22,24,23,0,
1900,1900,0,152,-69,-70,0,24,23,0,
1900,1900,0,173,-110,-111,1,24,23,0,
1900,1900,0,162,-112,-116,2,24,23,0,
1900,1900,0,126,-64,-80,3,24,23,0,
1900,1900,0,208,125,44,4,24,23,0,
1900,1900,0,320,390,329,5,24,23,0,
1900,1900,0,303,392,392,6,24,23,0,
1900,1900,0,236,318,307,7,24,23,0,
1900,1900,0,160,198,202,8,24,23,0,
1900,1900,0,120,81,81,9,24,23,0,
1900,1900,0,124,-5,-4,10,24,23,0,
1900,1900,0,118,9,13,11,24,23,0,
1900,1900,0,240,192,200,12,24,23,0,
1900,1900,0,356,407,406,13,24,23,0,
1900,1900,0,338,443,438,14,24,23,0,
1900,1900,0,330,440,438,15,22,23,0,
1900,1900,0,312,414,414,16,22,23,0,
1900,1900,0,292,386,386,17,22,23,0,
1900,1900,0,279,363,363,18,22,23,0,
1900,1900,0,279,363,363,18,22,23,0,
1900,1900,0,230,303,302,19,22,23,0,
1900,1900,0,161,197,195,20,22,23,0,
1900,1900,0,120,60,59,21,22,23,0,
1900,1900,0,126,-19,-20,22,22,23,0,
1900,1900,0,148,-68,-69,0,22,23,0,
1900,1900,0,172,-109,-110,1,22,23,0,
1900,1900,0,159,-110,-112,2,22,23,0,
1900,1900,0,119,-51,-64,3,22,23,0,
1900,1900,0,252,180,125,4,22,23,0,
1900,1900,0,322,398,390,5,22,23,0,
1900,1900,0,317,408,392,6,22,23,0,
1900,1900,0,218,307,318,7,22,23,0,
1900,1900,0,171,205,198,8,22,23,0,
1900,1900,0,121,83,81,9,22,23,0,
1900,1900,0,125,-4,-5,10,22,23,0,
1900,1900,0,118,11,9,11,22,23,0,
1900,1900,0,240,194,192,12,22,23,0,
1900,1900,0,355,407,407,13,22,23,0,
1900,1900,0,355,407,407,13,22,23,0,
1900,1900,0,333,437,443,14,22,23,0,
1900,1900,0,329,435,440,15,23,23,0,
